institution_name,Fiscal Year,timestep,reverse_timestep,EUI-Adjusted Floor Space,gsf,Weighted Campus User,fte_per_gsf,Maintained Acres,Total Enrollment (FTE)2,Faculty (FTE)3,Staff (FTE)4,E-Grid Pre-2006,E-Grid,Scope 1 Emissions,Scope 2 Emissions,Scope 3 Emissions,Gross Emissions,Net Emissions,net_mtcde_per_gsf,Stationary Emissions,Fleet Emissions,Refrigerant Emissions,Agricultural Emissions,Purchased Electric Emissions,Purchased Steam Emissions,Purchased Chilled Water Emissions,Student Community Emissions,Employee Commuting Emissions,Other Travel Emissions,Waste Emissions,Wasterwater  Emissions,Paper Emissions,T&D Losses Emissions,Landfilled Waste,Incinerated Waste,C&D Waste,Recycling,Compost,Other,Waste
b,2013,11,8,"295,577",295577,330,0.00112,45,249,55,59,CALI,CAMX,586.3172728,358.2980045,617.79416,1562.409437,"1,562.41",0.00529,303.3948514,102.2378236,101.8042715,78.88032635,358.2980045,0,0,32.09318158,157.0039341,369.0018907,-1.9977,39.77882636,0,21.91402727,66.59,0,0,8.57,60,231,365.8
c,2013,11,8,"302,010",302010,"2,222",0.00736,0,2599,157,207,WECC Southwest,AZNM: WECC Southwest,226.532461,3254.06668,3162.866908,6643.46605,"6,643.47",0.022,134.8754976,14.90747141,73.70876013,3.0407319,3254.06668,0,0,1831.397567,720.79701,152.1606292,193.729536,19.02809244,46.73062053,199.0234528,360.36,0,0,0,0,0,360.36
c,2014,12,7,"302,010",302010,"2,130",0.00705,0,2472,161,206,WECC Southwest,AZNM: WECC Southwest,183.552418,2409.699256,2634.651771,5227.903446,"5,227.90",0.01731,94.33377871,12.46914726,73.70876013,3.0407319,2409.699256,0,0,1759.6991,492.6273827,7.929045563,185.657472,19.02809244,48.47909157,121.2315874,360.36,0,0,0,0,0,360.36
c,2016,14,5,"302,010",302010,"1,979",0.00655,0,2275,150,214,WECC Southwest,AZNM: WECC Southwest,243.8621092,2644.630592,1962.645782,4851.138483,"4,851.14",0.01606,148.8661766,19.19745138,73.70876013,2.0897211,2644.630592,0,0,960.1392524,459.4700122,188.1540205,185.657472,18.46026922,34.35472395,116.4100318,360.36,0,0,0,0,0,360.36
c,2015,13,6,"302,010",302010,"2,010",0.00666,0,2318,159,202,WECC Southwest,AZNM: WECC Southwest,188.118679,2327.005182,2292.572199,4807.696059,"4,807.70",0.01592,94.99470836,16.37447857,73.70876013,3.0407319,2327.005182,0,0,1314.21705,463.9412418,153.965329,185.657472,19.02809244,38.69175173,117.0712616,360.36,0,0,0,0,0,360.36
c,2017,15,4,"302,010",302010,"1,946",0.00644,0,2238,144,213,WECC Southwest,AZNM: WECC Southwest,216.5387861,1397.991823,2437.777639,4052.308248,"4,052.31",0.01342,122.6948674,19.15912119,73.70876013,0.9760374,1397.991823,0,0,1458.300844,507.9180196,169.7335231,185.657472,18.86232137,39.98944508,57.31601401,360.36,0,0,0,0,0,360.36
c,2018,16,3,"302,010",302010,"1,995",0.0066,0,2305,150,205,WECC Southwest,AZNM: WECC Southwest,194.232002,1369.557015,1889.332502,3453.121519,"3,453.12",0.01143,97.74985068,21.89871148,73.70876013,0.87467967,1369.557015,0,0,969.081407,454.5702842,157.5593191,185.657472,19.81448491,38.35708344,64.29245106,360.36,0,0,0,0,0,360.36
c,2021,19,0,"333,702",333702,"1,971",0.00591,0,2246,155,228,WECC Southwest,AZNM: WECC Southwest,460.1468226,2087.366071,1038.339787,3585.852681,"3,585.85",0.01075,72.92324513,1.515580293,383.2855527,2.4224445,2087.366071,0,0,649.306794,176.3997148,14.3465129,15.863008,20.34783124,1.7709379,160.3049883,30.79,0,0,6.92,0,0,37.71
c,2020,18,1,"351,388",351388,"1,900",0.00541,0,2155,158,220,WECC Southwest,AZNM: WECC Southwest,575.8750265,2144.95977,2581.944823,5302.779619,"5,302.78",0.01509,178.8771902,12.09732066,383.2855527,1.614963,2144.95977,0,0,1366.270338,892.7784705,66.37723279,25.043872,18.13858594,10.6547454,202.6815788,48.61,0,0,7.93,0,0,56.54
c,2019,17,2,"351,388",351388,"1,903",0.00542,0,2155,153,230,WECC Southwest,AZNM: WECC Southwest,207.7835546,1589.707969,2587.502381,4384.993904,"4,384.99",0.01248,118.5647816,14.79675474,73.70876013,0.7132581,1589.707969,0,0,1343.052324,758.7512881,158.3271701,185.657472,20.7026071,38.35708344,82.65443596,360.36,0,0,0,0,0,360.36
d,2004,2,17,"383,559",383559,"1,798",0.00469,22,1950,100,100,NEWE,NEWE,1754.881228,1895.66818,3921.125191,7571.674599,"7,571.67",0.01974,1622.820752,107.8093528,19.70405255,4.547070551,1895.66818,0,0,2055.500974,290.4240244,1338.830237,-12.69,4.988162315,56.58812771,187.4836661,423,0,0,0,100,0,523
d,2005,3,16,"404,232",404232,"1,798",0.00445,22,1950,100,100,NEWE,NEWE,1837.958027,2345.738669,3918.068226,8101.764922,"8,101.76",0.02004,1704.424697,107.6402022,21.34605693,4.547070551,2345.738669,0,0,2074.042417,292.9316159,1270.211771,-12.69,4.988162315,56.58812771,231.9961321,423,0,0,0,100,0,523
d,2006,4,15,"438,971",438971,"1,742",0.00397,22,1875,100,100,NEWE,NEWE,1717.377984,2418.251609,3645.427156,7781.05675,"7,781.06",0.01773,1581.857368,107.9854842,22.98806131,4.547070551,2418.251609,0,0,1770.770241,382.4640777,1204.138806,-12.69,4.988162315,56.58812771,239.1677416,423,0,0,0,100,0,523
d,2007,5,14,"445,371",445371,"2,007",0.00451,22,1999,195,190,NEWE,NEWE,1537.584683,1517.388294,3612.783218,6667.756195,"6,667.76",0.01497,1400.563428,107.8441185,24.63006569,4.547070551,1517.388294,0,0,1527.174133,594.3248158,1292.32661,-12.69,4.988162315,56.58812771,150.0713698,423,0,0,0,100,0,523
d,2008,6,13,"466,571",466571,"2,065",0.00443,22,2061,186,198,NEWE,NEWE,1514.366623,1974.326453,3272.192674,6760.88575,"6,760.89",0.01449,1399.816734,106.7188089,3.284008759,4.547070551,1974.326453,0,0,1205.050722,551.0455699,1272.707894,-12.69,4.988162315,55.82726961,195.2630558,423,0,0,0,100,0,523
d,2010,8,11,"466,571",466571,"2,176",0.00466,22,2141,194,202,NEWE,NEWE,1346.209355,1839.412823,3378.620788,6564.242966,"6,564.24",0.01407,1239.530735,92.54868952,13.13603504,0.993895202,1839.412823,0,0,1202.586229,635.8631756,1380.052033,-11.8686,5.052830899,53.24499644,113.6901225,395.62,0,16,346.44,381.46,0,1139.24
d,2009,7,12,"466,571",466571,"2,100",0.0045,22,2058,179,193,NEWE,NEWE,1504.183401,1742.785613,3220.98877,6467.957785,"6,467.96",0.01386,1394.51489,106.2116097,2.463006569,0.993895202,1742.785613,0,0,1167.627275,613.0166448,1221.699441,-13.86,4.988162315,55.15383506,172.3634123,462,0,0,297.99793,150,0,909.99793
d,2012,10,9,"507,325",507325,"2,250",0.00444,22,2188,197,214,NEWE,NEWE,1257.93397,1764.722123,3056.167487,6078.823581,"6,078.82",0.01198,1107.660049,90.97526278,58.30476324,0.993895202,1764.722123,0,0,790.8275063,660.9676752,1386.039682,-10.5561,4.850157398,45.86918064,178.1693861,351.87,0,8,344.09,807.38,0,1511.14
d,2011,9,10,"511,696",511696,"2,212",0.00432,22,2141,209,235,NEWE,NEWE,1474.936302,1975.821405,3475.336514,6926.094221,"6,926.09",0.01354,1370.455822,100.2025754,3.284008759,0.993895202,1975.821405,0,0,1200.586744,716.1754966,1386.471809,-12.9915,5.299997278,57.67272615,122.1212414,433.05,0,33,430.35,516.8,0,1413.54
d,2013,11,8,"537,023",537023,"2,378",0.00443,22,2274,214,282,NEWE,NEWE,1332.71915,1820.921575,3445.12805,6598.768774,"6,598.77",0.01229,1227.708085,84.56096738,19.59700475,0.853093382,1820.921575,0,0,859.7291719,843.9701664,1525.233229,-10.5771,4.937703133,37.99149901,183.8433796,352.57,0,29,193.3689106,242.8077191,0,818.1966297
d,2014,12,7,"537,023",537023,"2,540",0.00473,22,2458,258,237,NEWE,NEWE,1389.126959,1545.107175,2946.529009,5880.763143,"5,880.76",0.01095,1304.413315,76.82079744,7.039753582,0.853093382,1545.107175,0,0,668.265038,820.1263145,1348.919608,-12.2196,5.336822102,35.29284324,80.80798337,407.32,0,29,221.6264365,285.2374757,0,943.6339122
d,2015,13,6,"595,644",595643.9,"3,210",0.00539,22,3175,222,243,NEWE,NEWE,1402.656271,1752.66042,3401.520977,6556.837667,"6,556.84",0.01101,1306.964518,63.34554657,31.44755901,0.898646912,1752.66042,0,0,862.6542431,779.8352697,1633.075318,-6.6657,5.666135635,35.29284324,91.66286738,222.19,0,0,75.16080446,192.7821151,0,490.1329195
d,2016,14,5,"667,263",667263,"3,390",0.00508,22,3442,288,250,NEWE,NEWE,1110.18489,1818.681819,3524.432134,6453.298844,"6,453.30",0.00967,1044.711215,20.10029646,44.47473188,0.898646912,1818.681819,0,0,1015.484988,886.6245096,1498.961453,-7.6266,4.974524384,30.89752109,95.11573863,254.22,0,18,82.05165615,395.6226842,0,749.7543404
d,2017,15,4,"667,263",667263,"3,390",0.00508,22,3442,288,250,NEWE,NEWE,1110.18489,1818.681819,3524.432134,6453.298844,"6,453.30",0.00967,1044.711215,20.10029646,44.47473188,0.898646912,1818.681819,0,0,1015.484988,886.6245096,1498.961453,-7.6266,4.974524384,30.89752109,95.11573863,254.22,0,18,82.05165615,395.6226842,0,749.7543404
e,2010,8,11,"670,016",670016,"1,729",0.00258,43,1579,131,192,NEWE,NEWE,2017.560145,1442.882152,2551.020583,6011.462881,"6,011.46",0.00897,1841.090391,16.53105792,157.2840615,2.654634612,1442.882152,0,0,370.4271209,324.7067956,1724.269971,-0.51,8.441570935,34.50370411,89.18142058,17,0,0,106,39,0,162
e,2011,9,10,"691,302",691302,"1,828",0.00264,43,1685,137,194,NEWE,NEWE,2422.535775,1510.530839,2720.187428,6653.254043,"6,653.25",0.00962,2130.479949,132.1171304,157.2840615,2.654634612,1510.530839,0,0,421.8612232,331.6093097,1832.796297,-0.5145,6.568755463,34.50370411,93.3626394,17.15,0,0,106,39,0,162.15
e,2013,11,8,"711,960",711960,"1,950",0.00274,43,1812,153,211,NEWE,NEWE,2637.849891,1349.95085,3026.118246,7013.918987,"7,013.92",0.00985,2319.579603,158.3315913,157.2840615,2.654634612,1349.95085,0,0,539.3718652,364.4066279,1942.739769,-0.6078,7.330238372,36.58418224,136.2933638,20.26,0,0,114.17,16.21,0,150.64
